,Title,Published_date,Views,Favorite,Comments,Month
0,Azure for Data Engineer  |  Microsoft Azure Training | Edureka Live,27-05-2022,354,0,0,May
1,Decision making using Power BI | Power BI Tutorial For Beginners | Edureka | Power BI Rewind - 7,27-05-2022,725,0,1,May
2,Power BI Desktop |  Power BI Desktop Tutorial For Beginners | Edureka | Power BI Rewind - 6,26-05-2022,1024,0,1,May
3,Sales Analysis using Power BI| Power BI Projects | Power BI Training | Edureka | Power BI Rewind - 5,26-05-2022,1020,0,1,May
4,Build a Slicer Panel in Power BI | How To Create Slicers In Power BI | Edureka | Power BI Rewind -4,26-05-2022,1535,0,1,May
5,Tableau Dashboard | How to Create a Dashboard in Tableau | Edureka,26-05-2022,414,0,1,May
6,Power Query Tutorial for beginners  | Power BI Training | Edureka | Power BI Rewind - 3,26-05-2022,1521,0,3,May
7,Python Developer | How to become Python Developer | Python Tutorial | Edureka Rewind - 2,26-05-2022,1371,0,3,May
8,IPL Data Visualization with Power BI | Power BI Data Visualization | Edureka | Power BI Rewind -2,26-05-2022,1402,0,1,May
9,What is Power Query in Power BI   | Power BI Tutorial | Edureka | Power BI  Rewind - 1,26-05-2022,1113,0,2,May
10,Know Power BI Certifications   | Power BI Exam Certification  | Edureka | Power BI  Live,26-05-2022,592,0,0,May
11,Blockchain Applications | Top 5 Decentralized Applications | Blockchain Training | Edureka Rewind 7,26-05-2022,892,0,1,May
12,Blockchain Wallet | How To Create Blockchain Bitcoin Wallet | Blockchain Tutorial| Edureka Rewind -6,25-05-2022,1404,0,1,May
13,Ethereum Smart Contracts Tutorial | Deploying Smart Contracts | Blockchain  | Edureka Rewind - 5,25-05-2022,1421,0,1,May
14,What is Hyperledger Fabric | Hyperledger Fabric Tutorial  | Edureka | Blockchain Rewind - 4,25-05-2022,1723,0,1,May
15,Blockchain Development Training | Blockchain Technology | Blockchain Explained | Edureka Rewind -3,25-05-2022,1454,0,2,May
16,Bitcoin Blockchain Explained | Understanding Bitcoin and Blockchain | Blockchain Training | Rewind 2,25-05-2022,1545,0,1,May
17,"Python Programs | Fibonacci Series, Interview Programs, Pattern Programs  | Edureka Rewind - 1",25-05-2022,1861,0,1,May
18,Blockchain Technology Explained | What Is Blockchain Technology? | Blockchain | Edureka Rewind - 1,25-05-2022,743,0,0,May
19,Blockchain 101 - What Is Blockchain Technology? | Blockchain Training  | Edureka Live,25-05-2022,1639,0,1,May
20,Phases of Ethical Hacking | Cybersecurity  | Edureka Rewind,25-05-2022,1969,0,3,May
21,How to Become an Ethical Hacker | Cybersecurity  | Edureka Rewind,24-05-2022,1794,0,1,May
22,What is Cyber Security | Cybersecurity  | Edureka Rewind,24-05-2022,1381,0,2,May
23,Coding For Cybersecurity |  Programming In Cybersecurity | Cybersecurity  | Edureka Rewind,24-05-2022,2144,0,4,May
24,Cyber Security Question and Answers   | Cyber Security Interview Tips | Edureka Rewind - 3,24-05-2022,2271,0,1,May
25,SQL injection   | SQL Injection Attack Tutorial | Cybersecurity Training | Edureka Rewind-2,24-05-2022,1600,0,1,May
26,Cyber security fundamentals | Understanding Cybersecurity Basics | Edureka Rewind - 1,24-05-2022,1047,0,0,May
27,Ethical Hacking Tutorial Using Kali Linux in 60 Minutes | Ethical Hacking Tutorial | Edureka Live,24-05-2022,1017,0,1,May
28,Salesforce Certification Training Course | Edureka,24-05-2022,1359,0,2,May
29,Amazon Honeycode  | Build An Application Without Coding | AWS Training | Edureka | AWS Rewind - 7,24-05-2022,945,0,2,May
